,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
bubble,7.15,7.156,7.146,7.102,7.102,7.133,7.135,7.115,7.148,7.13,7.183,7.125,7.316,7.122,7.152,7.138,7.083,7.136,7.182,7.119,7.131,7.18,7.123,7.116,7.132,7.1422
,28.657,28.673,29.128,28.829,28.743,28.75,28.643,28.736,28.757,28.701,28.719999,28.634001,28.580999,28.733999,28.716999,28.620001,28.664,28.669001,28.586,28.667999,28.587,28.652,28.669001,28.641001,28.615999,28.69499996
,64.375999,64.434998,64.487,64.362,64.528999,64.484001,64.547997,64.396004,64.396004,64.536003,64.513,64.513,64.499001,64.369003,64.384003,64.289001,64.311996,64.250999,64.421997,64.343002,64.403999,64.434998,64.556999,64.324997,64.388,64.42212
,114.588997,114.488998,114.591003,114.468002,114.522003,114.509003,114.587997,114.464996,114.418999,114.596001,114.454002,114.589996,114.638,114.505997,114.712997,114.593002,114.581001,114.547997,114.934998,114.285004,114.574997,114.416,114.474998,114.570999,114.478996,114.5437993
,179.005005,178.714005,178.813004,178.759995,178.701004,178.794006,178.899002,178.807007,178.817001,178.811005,179.225998,181.479004,186.251007,178.983002,178.934006,178.871002,178.701996,178.673996,178.983002,178.886993,178.891998,179.024994,178.925995,178.737,178.882004,179.2629212
,298.083008,299.484985,299.024994,298.265015,298.234009,298.218994,298.028015,298.097992,298.238007,297.893005,298.281006,298.372009,298.02301,297.88501,297.752991,298.105988,298.125,298.319,298.161987,298.292999,297.790009,297.992004,298.307007,298.002014,297.747009,298.1890027
,,,,,,,,,,,,,,,,,,,,,,,,,,
selection,2,1.999,2,2.015,1.999,2,1.999,2.015,2,2.031,1.999,2.002,1.986,2,2.03,2,1.999,2,1.999,2.016,2.03,2.016,1.999,2,1.999,2.00532
,8.029,8.014,7.998,7.967,8.013,8.014,8,7.969,8.014,7.998,7.982,7.994,8.013,8.03,7.982,7.967,8.002,8.002,8.014,7.967,7.982,8.001,8.016,8.008,7.998,7.99896
,17.952,17.964001,17.943001,17.964001,17.997,17.976999,17.943001,17.996,17.964001,17.983,17.98,17.982,17.964001,17.992001,17.975,17.962,17.983999,17.986,17.958,17.966999,18.000999,17.948999,17.933001,17.951,17.999001,17.97064016
